id	pop	hom	rate
Ahuachapán	326523	151	46.2
Alajuela	876073	65	7.4
Alta Verapaz	1078942	186	17.2
Atlántida	407551	535	131.3
Baja Verapaz	264019	48	18.2
Belize	101727	86	84.5
Boaco	165996	15	9
Bocas del Toro	125461	6	4.8
Cabañas	162916	73	44.8
Carazo	177620	10	5.6
Cartago	510727	25	4.9
Cayo	80116	20	25
Chalatenango	201846	91	45.1
Chimaltenango	595769	95	15.9
Chinandega	411396	31	7.5
Chiquimula	362826	282	77.7
Chiriquí	416873	26	6.2
Choluteca	459124	100	21.8
Chontales	174461	24	13.8
Coclé	233708	15	6.4
COLON	293540	260	88.6
Colón	241928	133	55
Comayagua	442251	319	72.1
Copán	362226	309	85.3
Corozal	35146	3	8.5
Cortés	1570291	1774	113
Cuscatlán	240909	121	50.2
Darién	48378	3	6.2
El Paraíso	427232	124	29
El Progreso	155596	56	36
Escuintla	685830	534	77.9
Estelí	217580	15	6.9
Francisco Morazán	1433810	1197	83.5
Gracias a Dios	88314	10	11.3
Granada	191213	22	11.5
Guanacaste	280488	20	7.1
Guatemala	3103685	2423	78.1
Heredia	449257	37	8.2
Herrera	109955	4	3.6
Huehuetenango	1114389	177	15.9
Intibucá	232509	62	26.7
Islas de la Bahía	49158	21	42.7
Izabal	403256	258	64
Jalapa	309908	150	48.4
Jinotega	384684	75	19.5
Jutiapa	428462	233	54.4
La Libertad	724656	579	79.9
La Paz	196322	61	31.1
La Paz	321554	189	58.8
La Unión	259083	122	47.1
Lempira	315565	147	46.6
León	393341	33	8.4
Limón	444884	73	16.4
Los Santos	89592	7	7.8
Madriz	148233	12	8.1
Managua	1383475	237	17.1
Masaya	331657	14	4.2
Matagalpa	513038	103	20.1
Morazán	195885	37	18.9
Nueva Segovia	232673	16	6.9
Ocotepeque	132453	95	71.7
Olancho	509564	401	78.7
Orange Walk	39621	13	32.8
Panamá	1713070	610	35.6
Petén	613693	366	59.6
Puntarenas	368827	59	16
Quezaltenango	771674	180	23.3
Quiché	921390	68	7.4
Atlántico Norte	394790	16	4.1
Atlántico Sur	346724	45	13
Retalhuleu	297385	65	21.9
Río San Juan	107546	21	19.5
Rivas	167882	14	8.3
Sacatepéquez	310037	70	22.6
San José	1633282	207	12.7
San Marcos	995742	165	16.6
San Miguel	470176	290	61.7
San Salvador	1732702	1351	78
San Vicente	170026	66	38.8
Santa Ana	560398	392	70
Santa Bárbara	402367	309	76.8
Santa Rosa	340381	225	66.1
Sololá	424068	27	6.4
Sonsonate	458559	403	87.9
Stann Creek	51409	12	23.3
Suchitepéquez	504267	166	32.9
Toledo	31981	1	3.1
Totonicapán	461838	20	4.3
Usulután	357769	139	38.9
Valle	171613	39	22.7
Veraguas	226991	14	6.2
Yoro	552100	473	85.7
Zacapa	218510	166	76
